,params,iou
7,"('image', 0, True, True, 0.5, False, False, 2)",0.09540785128977881
55,"('image', 0, True, False, 0.5, False, False, 2)",0.09540785128977881
151,"('image', 0, False, False, 0.5, False, False, 2)",0.09540785128977881
103,"('image', 0, False, True, 0.5, False, False, 2)",0.09540785128977881
247,"('image', 1, True, False, 0.5, False, False, 2)",0.0970665670136304
243,"('image', 1, True, False, 0.5, True, False, 2)",0.09717311022558459
149,"('image', 0, False, False, 0.5, False, True, 2)",0.09752376623829075
5,"('image', 0, True, True, 0.5, False, True, 2)",0.09752376623829075
53,"('image', 0, True, False, 0.5, False, True, 2)",0.09752376623829075
101,"('image', 0, False, True, 0.5, False, True, 2)",0.09752376623829075
319,"('image', 1, False, True, 1.5, False, False, 2)",0.09762092012179639
417,"('image', 2, True, True, 1.7, True, True, 2)",0.09788790574151399
315,"('image', 1, False, True, 1.5, True, False, 2)",0.09894850729493271
219,"('image', 1, True, True, 1.5, True, False, 2)",0.09919736896299208
409,"('image', 2, True, True, 1.5, True, True, 2)",0.09967960114249992
303,"('image', 1, False, True, 1, False, False, 2)",0.09973676736269729
536,"('image', 2, False, False, 1, True, True, 1)",0.09980645020994512
351,"('image', 1, False, False, 1, False, False, 2)",0.09998712614832853
347,"('image', 1, False, False, 1, True, False, 2)",0.10011002533576785
195,"('image', 1, True, True, 0.5, True, False, 2)",0.10051873142476964
241,"('image', 1, True, False, 0.5, True, True, 2)",0.1006619183123904
215,"('image', 1, True, True, 1.3, False, False, 2)",0.10073202389992227
207,"('image', 1, True, True, 1, False, False, 2)",0.10075880494338323
311,"('image', 1, False, True, 1.3, False, False, 2)",0.10123920617809096
453,"('image', 2, True, False, 1.3, False, True, 2)",0.10137951129801592
3,"('image', 0, True, True, 0.5, True, False, 2)",0.10208584894629516
147,"('image', 0, False, False, 0.5, True, False, 2)",0.10208584894629516
51,"('image', 0, True, False, 0.5, True, False, 2)",0.10208584894629516
99,"('image', 0, False, True, 0.5, True, False, 2)",0.10208584894629516
123,"('image', 0, False, True, 1.5, True, False, 2)",0.1022885737787212
171,"('image', 0, False, False, 1.5, True, False, 2)",0.1022885737787212
27,"('image', 0, True, True, 1.5, True, False, 2)",0.1022885737787212
75,"('image', 0, True, False, 1.5, True, False, 2)",0.1022885737787212
1,"('image', 0, True, True, 0.5, True, True, 2)",0.10306178281301995
145,"('image', 0, False, False, 0.5, True, True, 2)",0.10306178281301995
97,"('image', 0, False, True, 0.5, True, True, 2)",0.10306178281301995
49,"('image', 0, True, False, 0.5, True, True, 2)",0.10306178281301995
232,"('image', 1, True, True, 2, True, True, 1)",0.10357882810632718
203,"('image', 1, True, True, 1, True, False, 2)",0.10375659993592704
211,"('image', 1, True, True, 1.3, True, False, 2)",0.10376709979316039
443,"('image', 2, True, False, 1, True, False, 2)",0.10451355518952277
447,"('image', 2, True, False, 1, False, False, 2)",0.1047687545744965
421,"('image', 2, True, True, 1.7, False, True, 2)",0.10523401684453872
307,"('image', 1, False, True, 1.3, True, False, 2)",0.10530810720715225
299,"('image', 1, False, True, 1, True, False, 2)",0.10618613148224508
543,"('image', 2, False, False, 1, False, False, 2)",0.10701800439341563
397,"('image', 2, True, True, 1, False, True, 2)",0.10710045201414675
555,"('image', 2, False, False, 1.5, True, False, 2)",0.10736628996292986
459,"('image', 2, True, False, 1.5, True, False, 2)",0.10779000030633874
539,"('image', 2, False, False, 1, True, False, 2)",0.10808447275665552
175,"('image', 0, False, False, 1.5, False, False, 2)",0.10815803271026196
31,"('image', 0, True, True, 1.5, False, False, 2)",0.10815803271026196
79,"('image', 0, True, False, 1.5, False, False, 2)",0.10815803271026196
127,"('image', 0, False, True, 1.5, False, False, 2)",0.10815803271026196
236,"('image', 1, True, True, 2, False, True, 1)",0.1085323203762878
401,"('image', 2, True, True, 1.3, True, True, 2)",0.10896380488981701
393,"('image', 2, True, True, 1, True, True, 2)",0.10897390717151569
399,"('image', 2, True, True, 1, False, False, 2)",0.10917427730247053
32,"('image', 0, True, True, 1.7, True, True, 1)",0.11020325908446575
176,"('image', 0, False, False, 1.7, True, True, 1)",0.11020325908446575
128,"('image', 0, False, True, 1.7, True, True, 1)",0.11020325908446575
80,"('image', 0, True, False, 1.7, True, True, 1)",0.11020325908446575
493,"('image', 2, False, True, 1, False, True, 2)",0.11066254900765292
180,"('image', 0, False, False, 1.7, False, True, 1)",0.11114231758141394
36,"('image', 0, True, True, 1.7, False, True, 1)",0.11114231758141394
132,"('image', 0, False, True, 1.7, False, True, 1)",0.11114231758141394
84,"('image', 0, True, False, 1.7, False, True, 1)",0.11114231758141394
463,"('image', 2, True, False, 1.5, False, False, 2)",0.11114330969560306
395,"('image', 2, True, True, 1, True, False, 2)",0.11119735904903022
451,"('image', 2, True, False, 1.3, True, False, 2)",0.11167853163841732
163,"('image', 0, False, False, 1.3, True, False, 2)",0.11202940304078807
67,"('image', 0, True, False, 1.3, True, False, 2)",0.11202940304078807
115,"('image', 0, False, True, 1.3, True, False, 2)",0.11202940304078807
19,"('image', 0, True, True, 1.3, True, False, 2)",0.11202940304078807
455,"('image', 2, True, False, 1.3, False, False, 2)",0.1125658338075482
559,"('image', 2, False, False, 1.5, False, False, 2)",0.11282178035776218
489,"('image', 2, False, True, 1, True, True, 2)",0.11339210384859856
413,"('image', 2, True, True, 1.5, False, True, 2)",0.11419883134501554
509,"('image', 2, False, True, 1.5, False, True, 2)",0.11434271357320289
547,"('image', 2, False, False, 1.3, True, False, 2)",0.11489569246831538
551,"('image', 2, False, False, 1.3, False, False, 2)",0.11542278270907814
63,"('image', 0, True, False, 1, False, False, 2)",0.11591117382456431
15,"('image', 0, True, True, 1, False, False, 2)",0.11591117382456431
111,"('image', 0, False, True, 1, False, False, 2)",0.11591117382456431
159,"('image', 0, False, False, 1, False, False, 2)",0.11591117382456431
505,"('image', 2, False, True, 1.5, True, True, 2)",0.11755635744930254
252,"('image', 1, True, False, 1, False, True, 1)",0.11774478247548135
107,"('image', 0, False, True, 1, True, False, 2)",0.11787586636463118
155,"('image', 0, False, False, 1, True, False, 2)",0.11787586636463118
59,"('image', 0, True, False, 1, True, False, 2)",0.11787586636463118
11,"('image', 0, True, True, 1, True, False, 2)",0.11787586636463118
167,"('image', 0, False, False, 1.3, False, False, 2)",0.11788431079622692
23,"('image', 0, True, True, 1.3, False, False, 2)",0.11788431079622692
71,"('image', 0, True, False, 1.3, False, False, 2)",0.11788431079622692
119,"('image', 0, False, True, 1.3, False, False, 2)",0.11788431079622692
495,"('image', 2, False, True, 1, False, False, 2)",0.11903365349012442
491,"('image', 2, False, True, 1, True, False, 2)",0.11982362470033865
541,"('image', 2, False, False, 1, False, True, 2)",0.12011376445182831
523,"('image', 2, False, True, 2, True, False, 2)",0.12034773042807202
532,"('image', 2, False, False, 0.5, False, True, 1)",0.12083604973415742
501,"('image', 2, False, True, 1.3, False, True, 2)",0.12215683273085913
528,"('image', 2, False, False, 0.5, True, True, 1)",0.12281675754905973
348,"('image', 1, False, False, 1, False, True, 1)",0.12317156697063018
205,"('image', 1, True, True, 1, False, True, 2)",0.12410017311990386
301,"('image', 1, False, True, 1, False, True, 2)",0.1241989930234983
349,"('image', 1, False, False, 1, False, True, 2)",0.12427659999606369
537,"('image', 2, False, False, 1, True, True, 2)",0.12481285944072747
540,"('image', 2, False, False, 1, False, True, 1)",0.12539709220208384
